Designator,Comment,Footprint,Mid X,Mid Y,Layer,Rotation
R11,330,3-0603,90.7702mm,-0.635mm,T,180
R17,330,3-0603,50.562mm,-2.667mm,T,90
R27,330,3-0603,25.289mm,0.635mm,T,90
R29,330,3-0603,27.067mm,-2.54mm,T,360
C42,.01uF,402,51.451mm,-37.195mm,T,180
C11,.47uF,402,116.586mm,-27.94mm,T,180
C15,0.01uF,402,80.518mm,-38.1mm,T,270
C56,0.1 uF,402,0.254mm,-29.845mm,T,270
C57,0.1 uF,402,11.938mm,-23.241mm,T,180
C58,0.1 uF,402,0.254mm,-33.02mm,T,270
C10,0.1uF,402,117.983mm,-33.909mm,T,90
C53,0.1uF,402,20.336mm,-6.477mm,T,0
C12,0.47uF,402,113.03mm,-27.813mm,T,360
C59,0402 Ferrite,402,19.177mm,-30.48mm,T,360
C60,0402 Ferrite,402,19.177mm,-32.385mm,T,360
R7,100K,3-0603,110.744mm,-29.845mm,T,270
R3,10K,3-0603,116.602mm,-31.2928mm,T,0
R4,10K,3-0603,116.475mm,-29.3116mm,T,180
R5,10K,3-0603,113.284mm,-29.464mm,T,360
R6,10K,3-0603,113.284mm,-30.861mm,T,180
R2,10X,3-0603,109.5916mm,-35.9918mm,T,180
C13,1uF,402,82.55mm,-30.48mm,T,90
C14,1uF,402,82.55mm,-38.1mm,T,270
C39,1uF,402,44.339mm,-35.179mm,T,180
C40,1uF,402,51.451mm,-35.163mm,T,360
R1,20k,3-0603,118.999mm,-37.338mm,T,180
R16,20k,3-0603,44.339mm,-37.068mm,T,360
R9,20k,3-0603,80.518mm,-30.353mm,T,270
C16,C0603,603,110.4044mm,-37.4142mm,T,360
C8,C0603,603,118.999mm,-36.068mm,T,180
C9,C0603,603,119.507mm,-33.655mm,T,270
P19,DIP1,DIP1,32.528mm,-11.176mm,T,360
D1,LED_0603,Diode0603,86.7062mm,-0.5334mm,T,180
D2,LED_0603,Diode0603,4.08mm,-18.415mm,T,180
D3,LED_0603,Diode0603,53.34mm,-0.508mm,T,360
D4,LED_0603,Diode0603,27.702mm,1.524mm,T,0
D5,LED_0603,Diode0603,27.686mm,-0.508mm,T,180
U10,LP3985IM5-3.3,MF05A_N,48.022mm,-36.179mm,T,360
U3,LP3985IM5-3.3,MF05A_N,81.51mm,-34.159mm,T,270
U2,MAX9788,MAX9788,114.173mm,-35.052mm,T,180
P17,microSD-Molex,microSD_Molex_hinged,62.992mm,-20.574mm,T,90
P25,microSD-Molex,microSD_Molex_hinged,31.5374mm,-20.828mm,T,90
P8,microSD-Molex,microSD_Molex_hinged,95.123mm,-19.812mm,T,90
U16,MS5837,MS5837,20.812mm,-2.683mm,T,90
U19,SAM-M8Q,GPS_SAM-MQ8,9.537mm,-31.867mm,T,360
P26,Tactile,Tactile-B3U-1000,23.384mm,-20.6756mm,T,90
P4,Tactile,Tactile-B3U-1000,96.8916mm,-10.922mm,T,0
P9,Tactile,Tactile-B3U-1000,64.659mm,-11.6586mm,T,180
